2024-03-01 00:06:36,638 INFO    StreamThr :4331 [internal.py:wandb_internal():87] W&B internal server running at pid: 4331, started at: 2024-03-01 00:06:36.638108
2024-03-01 00:06:36,640 DEBUG   HandlerThread:4331 [handler.py:handle_request():144] handle_request: status
2024-03-01 00:06:36,646 INFO    WriterThread:4331 [datastore.py:open_for_write():85] open: /home/dariusstrongman/Project-Build-an-ML-Pipeline-Starter/src/basic_cleaning/wandb/run-20240301_000636-c3o7c7x9/run-c3o7c7x9.wandb
2024-03-01 00:06:36,646 DEBUG   SenderThread:4331 [sender.py:send():334] send: header
2024-03-01 00:06:36,648 DEBUG   SenderThread:4331 [sender.py:send():334] send: run
2024-03-01 00:06:36,946 INFO    SenderThread:4331 [dir_watcher.py:__init__():216] watching files in: /home/dariusstrongman/Project-Build-an-ML-Pipeline-Starter/src/basic_cleaning/wandb/run-20240301_000636-c3o7c7x9/files
2024-03-01 00:06:36,946 INFO    SenderThread:4331 [sender.py:_start_run_threads():1065] run started: c3o7c7x9 with start time 1709273196.637678
2024-03-01 00:06:36,946 DEBUG   SenderThread:4331 [sender.py:send_request():361] send_request: summary_record
2024-03-01 00:06:36,946 INFO    SenderThread:4331 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2024-03-01 00:06:36,949 DEBUG   HandlerThread:4331 [handler.py:handle_request():144] handle_request: check_version
2024-03-01 00:06:36,950 DEBUG   SenderThread:4331 [sender.py:send_request():361] send_request: check_version
2024-03-01 00:06:37,025 DEBUG   HandlerThread:4331 [handler.py:handle_request():144] handle_request: run_start
2024-03-01 00:06:37,026 DEBUG   HandlerThread:4331 [system_info.py:__init__():31] System info init
2024-03-01 00:06:37,026 DEBUG   HandlerThread:4331 [system_info.py:__init__():46] System info init done
2024-03-01 00:06:37,026 INFO    HandlerThread:4331 [system_monitor.py:start():151] Starting system monitor
2024-03-01 00:06:37,027 INFO    SystemMonitor:4331 [system_monitor.py:_start():116] Starting system asset monitoring threads
2024-03-01 00:06:37,027 INFO    HandlerThread:4331 [system_monitor.py:probe():172] Collecting system info
2024-03-01 00:06:37,028 INFO    SystemMonitor:4331 [interfaces.py:start():168] Started cpu
2024-03-01 00:06:37,029 DEBUG   HandlerThread:4331 [system_info.py:probe():195] Probing system
2024-03-01 00:06:37,032 INFO    SystemMonitor:4331 [interfaces.py:start():168] Started disk
2024-03-01 00:06:37,034 INFO    SystemMonitor:4331 [interfaces.py:start():168] Started memory
2024-03-01 00:06:37,034 INFO    SystemMonitor:4331 [interfaces.py:start():168] Started network
2024-03-01 00:06:37,036 DEBUG   HandlerThread:4331 [system_info.py:_probe_git():180] Probing git
2024-03-01 00:06:37,047 DEBUG   HandlerThread:4331 [system_info.py:_probe_git():188] Probing git done
2024-03-01 00:06:37,047 DEBUG   HandlerThread:4331 [system_info.py:probe():241] Probing system done
